Date,Latitude,Longitude,Salinity (psu),Temperature
11-03-2025,15.5,73.8,34.41,29
12-03-2025,15.5,73.8,34.32,28.3
13-03-2025,15.5,73.8,34.61,27.7
14-03-2025,15.5,73.8,34.15,27.2
15-03-2025,15.5,73.8,34.53,28.9
16-03-2025,15.5,73.8,34.34,29
17-03-2025,15.5,73.8,34.07,28.6
18-03-2025,15.5,73.8,34.52,27.3
19-03-2025,15.5,73.8,34.43,27.6
20-03-2025,15.5,73.8,34.94,28.3
21-03-2025,15.5,73.8,34.08,26.2
22-03-2025,15.5,73.8,34.23,28.3
23-03-2025,15.5,73.8,34.59,29.1
24-03-2025,15.5,73.8,34.2,27.5
25-03-2025,15.5,73.8,34.33,27.3
26-03-2025,15.5,73.8,33.98,26.5
27-03-2025,15.5,73.8,33.93,27.7
28-03-2025,15.5,73.8,34.57,27.9
29-03-2025,15.5,73.8,34.36,28.2
30-03-2025,15.5,73.8,34.36,28.7
31-03-2025,15.5,73.8,34.66,28.2
01-04-2025,15.5,73.8,34.36,26.7
02-04-2025,15.5,73.8,34.73,26
03-04-2025,15.5,73.8,34.97,28.2
04-04-2025,15.5,73.8,34.43,26.8
05-04-2025,15.5,73.8,34.43,28.8
06-04-2025,15.5,73.8,34.96,26.9
07-04-2025,15.5,73.8,34.69,28
08-04-2025,15.5,73.8,34.46,29.9
09-04-2025,15.5,73.8,34.65,27.4
