Date,Latitude,Longitude,Salinity (psu),Temperature
2025-03-11,15.5,73.8,34.41,29.0
2025-03-12,15.5,73.8,34.32,28.3
2025-03-13,15.5,73.8,34.61,27.7
2025-03-14,15.5,73.8,34.15,27.2
2025-03-15,15.5,73.8,34.53,28.9
2025-03-16,15.5,73.8,34.34,29.0
2025-03-17,15.5,73.8,34.07,28.6
2025-03-18,15.5,73.8,34.52,27.3
2025-03-19,15.5,73.8,34.43,27.6
2025-03-20,15.5,73.8,34.94,28.3
2025-03-21,15.5,73.8,34.08,26.2
2025-03-22,15.5,73.8,34.23,28.3
2025-03-23,15.5,73.8,34.59,29.1
2025-03-24,15.5,73.8,34.2,27.5
2025-03-25,15.5,73.8,34.33,27.3
2025-03-26,15.5,73.8,33.98,26.5
2025-03-27,15.5,73.8,33.93,27.7
2025-03-28,15.5,73.8,34.57,27.9
2025-03-29,15.5,73.8,34.36,28.2
2025-03-30,15.5,73.8,34.36,28.7
2025-03-31,15.5,73.8,34.66,28.2
2025-04-01,15.5,73.8,34.36,26.7
2025-04-02,15.5,73.8,34.73,26.0
2025-04-03,15.5,73.8,34.97,28.2
2025-04-04,15.5,73.8,34.43,26.8
2025-04-05,15.5,73.8,34.43,28.8
2025-04-06,15.5,73.8,34.96,26.9
2025-04-07,15.5,73.8,34.69,28.0
2025-04-08,15.5,73.8,34.46,29.9
2025-04-09,15.5,73.8,34.65,27.4
